index,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio %,Shares Mil,Book Value Per Share USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,SYMBOL
TTM,"4,870",67.5,-58,-1.2,"6,940",7.22,,,961,35.62,"-2,229",-476,"-2,705",,,100.00,32.52,67.48,37.73,26.29,4.65,-1.19,212.58,211.39,39.27,142.49,0.15,20.83,1.50,30.03,28.58,148.48,14.67,,,,-216.54,,,,,,,,-107.69,,,,,,9.76,-55.54,-0.39,11.60,1.96,,1.54,15.10,3.04,11.08,70.78,100.00,0.60,,,1.80,0.40,2.80,2.39,27.99,33.19,66.81,100.00,5.39,4.84,1.50,0.04,67.81,,48.79,,5.38,,3.25,0.15,NAS:yhoo
2014-12,"4,618",71.9,143,3.1,"7,522",7.45,,,"1,004",39.19,897,-375,522,0.71,"5,171",100.00,28.11,71.89,39.17,26.14,3.48,3.10,224.54,227.63,38.41,162.87,0.12,19.10,1.60,29.03,27.84,153.68,-1.33,-2.51,-6.49,2.59,-75.77,-43.68,-18.05,-14.55,450.53,92.84,65.93,24.52,491.27,108.66,77.74,29.08,-24.98,-38.93,8.12,11.30,0.07,12.90,1.67,,1.08,15.65,2.40,9.09,72.85,100.00,0.38,,4.87,1.50,0.56,7.31,1.89,28.28,37.47,62.53,100.00,2.14,1.99,1.60,0.03,79.52,,52.86,,4.59,,3.10,0.12,NAS:yhoo
2013-12,"4,680",71.2,590,12.6,"1,366",1.26,,,"1,071",12.32,"1,195",-341,855,-1.30,"3,686",100.00,28.83,71.17,36.33,21.55,0.69,12.60,0.93,13.53,24.22,29.19,0.28,8.06,1.29,9.89,9.50,45.23,-6.14,-9.55,-8.28,11.16,4.16,-8.60,114.59,7.15,-65.37,3.52,26.35,19.10,-61.59,11.87,34.15,21.15,,,7.28,18.26,0.63,20.28,5.83,,3.80,29.91,8.86,30.33,30.90,100.00,0.82,,,5.40,1.75,7.98,6.61,7.61,22.20,77.80,100.00,3.75,3.27,1.29,0.09,77.52,,43.67,,4.71,,2.95,0.28,NAS:yhoo
2012-12,"4,987",67.5,566,11.4,"3,945",3.28,,,"1,203",13.06,-282,-509,-791,-0.66,"4,362",100.00,32.50,67.50,32.92,17.76,5.45,11.36,93.21,104.57,37.21,79.12,0.31,24.75,1.17,29.12,28.65,,0.05,-8.27,-6.48,18.00,-29.23,13.57,-4.02,20.44,276.18,87.56,42.99,57.20,300.00,98.40,47.49,57.46,,,10.21,-15.86,-0.20,24.46,5.90,,2.69,33.05,9.86,23.27,33.82,100.00,1.08,,0.06,4.66,1.74,7.54,,7.33,14.87,85.13,100.00,4.38,4.02,1.17,0.01,74.88,,39.58,,4.87,,2.92,0.31,NAS:yhoo
2011-12,"4,984",69.9,800,16.1,"1,049",0.82,,,"1,282",10.47,"1,324",-605,719,0.44,"2,245",100.00,30.15,69.85,32.46,20.17,1.16,16.06,0.55,16.60,29.22,21.04,0.34,7.06,1.18,8.36,8.16,,-21.19,-11.57,-4.95,21.39,3.60,295.24,-3.19,,-14.84,35.21,6.90,,-8.89,41.41,9.54,,6.74,42.41,12.14,14.42,0.69,13.91,7.02,,2.43,23.36,11.71,28.11,36.83,100.00,1.13,,0.07,3.98,2.99,8.17,,7.00,15.16,84.84,100.00,2.86,2.56,1.18,0.01,75.66,,39.96,,4.82,,2.95,0.34,NAS:yhoo
2010-12,"6,325",58.5,773,12.2,"1,232",0.90,,,"1,365",9.59,"1,240",-736,505,0.37,"2,720",100.00,41.54,58.46,27.71,17.11,1.42,12.21,4.71,16.92,20.70,19.47,0.42,8.25,1.19,9.83,9.60,,-2.10,-3.18,3.76,19.00,99.78,3.57,-6.95,9.19,105.97,23.12,-8.27,33.06,114.29,24.18,-6.80,31.10,-5.35,-40.23,11.63,7.98,0.41,19.32,6.89,,2.90,29.11,11.08,26.38,33.44,100.00,1.09,,,8.10,1.71,10.89,,4.98,15.88,84.12,100.00,2.67,2.41,1.19,0.01,58.64,,20.78,,6.22,,4.11,0.42,NAS:yhoo
2009-12,"6,460",55.5,387,6.0,598,0.42,,,"1,416",8.89,"1,310",-466,844,0.60,"2,877",100.00,44.45,55.55,28.26,18.73,2.57,5.99,2.90,8.89,38.19,9.26,0.45,4.18,1.20,5.04,4.89,,-10.38,0.18,12.57,27.07,2883.04,-25.65,-10.90,9.62,40.94,-7.33,-6.56,25.62,44.83,-6.87,-6.25,23.72,-30.31,-25.55,7.21,13.07,1.41,22.03,6.72,,2.01,30.76,9.55,26.76,32.93,100.00,0.92,,,7.83,2.75,11.50,,4.85,16.35,83.65,100.00,2.67,2.50,1.20,0.01,58.30,,18.34,,6.26,,4.36,0.45,NAS:yhoo
2008-12,"7,209",58.1,13,0.2,424,0.29,,,"1,400",8.11,"1,880",-746,"1,134",0.81,"3,040",100.00,41.94,58.06,31.47,16.95,9.46,0.18,1.15,1.33,274.23,5.89,0.56,3.27,1.22,4.08,3.40,,3.43,11.09,34.71,42.88,-98.14,-77.30,-46.50,-12.31,-35.71,-39.29,12.27,32.42,-38.30,-39.04,9.41,26.56,-2.01,-5.98,10.35,15.73,2.67,25.22,7.75,,1.70,34.66,11.22,28.68,25.43,100.00,1.11,,,8.33,3.02,12.45,,5.36,17.82,82.18,100.00,2.78,2.65,1.22,0.01,53.57,,19.80,,6.81,,5.03,0.56,NAS:yhoo
2007-12,"6,969",59.3,695,10.0,660,0.47,,,"1,405",7.13,"1,919",-713,"1,206",0.86,937,100.00,40.73,59.27,32.20,15.56,1.54,9.98,2.21,12.19,39.70,9.47,0.59,5.56,1.28,7.06,5.76,,8.46,24.93,48.87,59.02,-26.10,0.33,51.14,,-12.16,-7.71,72.82,,-9.62,-6.77,68.11,,39.90,76.75,10.23,17.31,1.83,16.37,8.63,,1.48,26.47,10.89,37.72,24.91,100.00,1.44,6.13,,6.97,4.27,18.81,,3.24,22.05,77.95,100.00,1.41,1.33,1.28,,52.02,,18.34,,7.02,,5.73,0.59,NAS:yhoo
2006-12,"6,426",58.4,941,14.6,751,0.52,,,"1,458",5.93,"1,372",-689,682,0.66,"2,276",100.00,41.64,58.36,28.81,12.97,1.94,14.64,2.44,17.09,41.71,11.69,0.58,6.73,1.26,8.48,6.33,,22.22,58.13,55.03,78.93,-15.05,47.09,,,-60.37,46.72,,,-59.38,41.13,,,-19.86,-47.60,10.72,10.62,0.91,22.59,8.09,,1.89,32.57,9.57,29.31,28.55,100.00,0.95,,,7.92,3.93,12.80,6.51,1.12,20.44,79.56,100.00,2.54,2.40,1.26,0.08,46.94,,12.24,,7.78,,7.14,0.58,NAS:yhoo
