index,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio %,Shares Mil,Book Value Per Share USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,SYMBOL
TTM,263.0,57.6,1.0,0.5,7.0,0.07,,,111.0,2.3,16.0,-3.0,12.0,,,100.0,42.4,57.6,31.0,25.81,0.26,0.53,-0.67,-0.15,,2.81,1.02,2.88,1.25,3.68,3.67,,37.25,,,,67.59,,,,,,,,25.0,,,,,,1.16,4.73,1.68,50.59,7.02,,8.69,66.29,1.5,29.47,2.74,100.0,3.06,,,7.1,8.33,18.49,,1.34,19.83,80.17,100.0,3.59,3.12,1.25,,28.45,,33.8,,12.83,,53.18,1.02,NAS:GLUU
2014-12,223.0,61.6,2.0,0.9,8.0,0.08,,,97.0,1.57,31.0,-3.0,27.0,0.11,45.0,100.0,38.43,61.57,31.41,28.81,0.42,0.93,-0.66,0.27,,3.65,1.32,4.81,1.47,7.46,7.44,,111.29,49.95,22.97,41.32,,,,,,,,,,,,,,,1.48,12.23,3.35,28.18,12.81,,7.25,48.24,2.43,45.89,3.44,100.0,4.64,,,10.73,14.83,30.21,,1.56,31.77,68.23,100.0,1.6,1.36,1.47,,41.33,,47.55,,8.83,,39.8,1.32,NAS:GLUU
2013-12,106.0,64.9,-23.0,-21.6,-20.0,-0.28,,,71.0,0.61,-10.0,-3.0,-13.0,-0.22,17.0,100.0,35.08,64.92,39.46,44.39,2.64,-21.55,0.01,-21.54,,-18.85,1.33,-25.0,1.86,-46.53,-46.53,,20.71,17.96,3.3,50.34,,,,,,,,,,,,,,,2.82,-11.89,0.63,32.75,21.04,,8.81,62.59,5.86,28.83,2.72,100.0,12.25,,,10.43,20.94,43.62,,2.71,46.33,53.67,100.0,1.43,1.23,1.86,,52.16,,88.31,,7.0,,20.87,1.33,NAS:GLUU
2012-12,87.0,85.5,-22.0,-25.3,-20.0,-0.32,,,64.0,0.59,-7.0,-7.0,-14.0,-0.21,9.0,100.0,14.54,85.46,40.73,62.03,7.96,-25.27,-0.4,-25.66,,-23.38,1.13,-26.39,1.86,-46.47,-46.47,,32.19,3.31,5.52,129.06,,,,,,,,,,,,,,,8.02,-15.73,0.67,30.89,16.44,,3.44,50.77,6.95,41.96,0.31,100.0,10.06,,,15.08,12.5,37.63,,8.56,46.2,53.8,100.0,1.35,1.26,1.86,,49.44,,203.16,,7.38,,19.53,1.13,NAS:GLUU
2011-12,66.0,72.2,-21.0,-32.1,-21.0,-0.37,,,58.0,0.91,-7.0,-3.0,-9.0,-0.09,21.0,100.0,27.75,72.25,43.23,59.04,2.07,-32.08,1.13,-30.95,,-31.88,1.04,-33.07,1.68,-66.93,-64.5,-275.85,2.86,-9.66,7.47,,,,,,,,,,,,,,,,4.09,-14.26,0.45,38.9,14.28,,2.85,56.03,4.75,38.73,0.49,100.0,8.33,,,13.4,8.62,30.35,,10.27,40.62,59.38,100.0,1.85,1.75,1.68,,61.99,,124.8,,5.89,,21.81,1.04,NAS:GLUU
2010-12,64.0,66.5,-11.0,-17.8,-13.0,-0.38,,,35.0,0.31,2.0,-1.0,2.0,0.04,5.0,100.0,33.46,66.54,39.24,39.13,5.96,-17.79,-1.97,-19.76,,-20.86,1.25,-26.18,3.23,-104.96,-58.22,-20.15,-18.9,-1.27,20.19,,,,,,,,,,,,,,99.03,427.05,1.1,2.39,-0.11,28.7,23.79,,11.21,63.7,4.76,30.26,1.28,100.0,12.64,5.11,,31.85,1.88,51.48,,17.54,69.02,30.98,100.0,1.24,1.02,3.23,,75.7,,86.0,,4.82,,23.49,1.25,NAS:GLUU
2009-12,79.0,55.2,-15.0,-18.8,-18.0,-0.61,,,30.0,0.39,1.0,-1.0,0.0,0.01,-3.0,100.0,44.76,55.24,38.66,32.74,2.64,-18.79,-1.42,-20.21,,-22.93,1.06,-24.29,4.94,-94.55,-43.48,-11.57,-11.61,19.78,62.41,,,,,,,,,,,,,,,,1.06,0.37,-0.02,18.2,27.76,,16.03,62.0,5.79,30.6,1.61,100.0,7.76,28.37,,28.85,1.58,66.56,,13.19,79.75,20.25,100.0,0.93,0.69,4.94,,82.47,,56.78,,4.43,,19.34,1.06,NAS:GLUU
2008-12,90.0,55.2,-102.0,-113.9,-107.0,-3.63,,,29.0,0.91,-6.0,-4.0,-10.0,-0.33,14.0,100.0,44.76,55.24,52.4,35.8,80.89,-113.86,-1.51,-115.37,,-118.85,0.71,-84.15,3.44,-136.56,-105.14,,34.25,51.82,118.8,,,,,,,,,,,,,,,,4.2,-10.76,0.09,20.82,21.53,,19.55,61.9,5.28,27.09,5.73,100.0,7.13,15.2,,23.96,0.79,47.09,11.0,12.81,70.9,29.1,100.0,1.31,0.9,3.44,0.38,77.65,,59.02,,4.7,,20.69,0.71,NAS:GLUU
2007-12,67.0,69.2,-6.0,-8.3,-3.0,-0.28,,,23.0,4.46,-1.0,-2.0,-3.0,-0.14,69.0,100.0,30.78,69.22,45.05,33.54,-1.06,-8.31,2.94,-5.37,,-9.68,0.55,-5.32,1.25,-12.42,-16.1,,44.84,111.96,397.23,,,,,,,,,,,,,,,,3.5,-4.93,0.99,37.03,11.37,,8.19,56.6,2.36,38.3,2.74,100.0,3.98,,,9.47,0.4,13.85,,5.99,19.84,80.16,100.0,4.09,3.5,1.25,,89.57,,104.82,,4.08,,18.33,0.55,NAS:GLUU
2006-12,46.0,65.7,-11.0,-24.4,-12.0,-2.5,,,5.0,,-11.0,-2.0,-13.0,,11.0,100.0,34.32,65.68,50.83,34.64,4.58,-24.38,-1.89,-26.26,,-26.83,0.7,-18.87,,,,,79.98,195.45,,,,,,,,,,,,,,,,,4.43,-28.3,1.06,15.37,17.66,,5.32,38.36,4.25,53.42,3.96,100.0,6.59,5.3,,12.38,0.22,24.5,8.86,97.44,130.79,-30.79,100.0,1.57,1.35,,,86.36,,103.2,,4.23,,14.6,0.7,NAS:GLUU
