index,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio %,Shares Mil,Book Value Per Share USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,SYMBOL
TTM,"69,611",61.9,"17,395",25.0,"15,168",21.25,,,689,163.06,"25,960","-11,410","14,550",,,100.00,38.15,61.85,21.05,15.82,,24.99,0.79,25.78,19.83,21.04,0.53,11.25,1.24,14.11,12.87,176.92,11.11,,,,13.32,,,,,,,,-1.20,,,,,,16.39,20.90,0.96,50.27,7.22,,3.14,60.63,19.46,14.28,5.63,100.00,0.95,2.17,0.68,6.26,2.45,12.51,1.60,5.36,19.47,80.53,100.00,4.85,4.60,1.24,0.02,46.44,,18.28,,7.86,,2.99,0.53,NAS:GOOG
2014-12,"66,001",61.1,"16,496",25.0,"14,444",21.02,,,687,145.08,"22,376","-10,959","11,417",16.92,"63,880",100.00,38.93,61.07,21.18,14.90,,24.99,1.16,26.15,19.30,21.88,0.55,11.93,1.25,15.06,13.77,171.88,10.32,20.31,22.78,35.39,18.12,12.00,14.69,38.39,11.80,14.05,17.24,43.17,10.15,12.17,15.53,39.92,19.92,1.03,16.60,17.30,0.79,49.11,8.81,,3.61,61.53,18.21,15.41,4.85,100.00,1.31,1.53,0.07,7.21,2.69,12.82,2.46,5.03,20.31,79.69,100.00,4.80,4.52,1.25,0.03,50.50,,29.61,,7.23,,3.27,0.55,NAS:GOOG
2013-12,"59,825",56.8,"13,966",23.3,"12,920",19.08,,,677,,"18,659","-7,358","11,301",,"56,978",100.00,43.22,56.78,20.14,13.29,,23.34,0.89,24.23,15.74,21.60,0.58,12.62,1.27,16.25,14.52,175.65,19.23,26.83,22.38,44.90,9.45,10.39,16.06,44.89,20.33,14.96,25.04,61.71,18.01,13.17,23.43,57.34,12.28,-15.32,12.30,18.89,0.87,52.94,8.47,0.38,3.92,65.71,14.90,15.83,3.56,100.00,2.21,2.71,0.02,7.20,2.20,14.34,2.02,4.93,21.29,78.71,100.00,4.58,4.28,1.27,0.03,51.15,6.57,31.51,26.21,7.14,55.55,4.22,0.58,NAS:GOOG
2012-12,"50,175",58.9,"12,760",25.4,"10,737",16.17,,,645,,"16,619","-3,273","13,346",,"46,117",100.00,41.12,58.88,19.91,13.54,,25.43,1.25,26.68,19.41,21.40,0.60,12.91,1.31,16.54,14.66,160.36,32.37,28.49,24.77,60.60,8.67,15.36,20.20,52.59,10.27,18.09,20.63,59.68,8.57,16.55,19.44,54.76,14.10,19.94,6.52,26.60,1.24,51.27,9.15,0.54,3.49,64.45,12.64,19.20,3.71,100.00,2.15,2.72,0.26,7.43,2.74,15.28,3.19,5.07,23.54,76.46,100.00,4.22,3.95,1.31,0.04,48.42,8.93,23.00,34.36,7.54,40.86,4.68,0.60,NAS:GOOG
2011-12,"37,905",65.2,"11,742",31.0,"9,737",14.89,,,654,,"14,565","-3,438","11,127",,"43,845",100.00,34.79,65.21,19.29,13.62,1.32,30.98,1.54,32.52,21.00,25.69,0.58,14.93,1.25,18.66,15.89,213.52,29.28,20.26,29.01,83.74,13.11,20.98,27.03,100.90,14.49,32.07,25.91,106.27,13.11,30.76,24.52,93.71,31.44,57.54,9.07,29.35,1.14,61.49,8.50,,2.70,72.70,13.23,12.30,1.78,100.00,0.81,1.68,0.27,6.00,3.52,12.28,4.11,3.49,19.88,80.12,100.00,5.92,5.70,1.25,0.05,46.60,,14.82,,7.83,,4.37,0.58,NAS:GOOG
2010-12,"29,321",64.5,"10,381",35.4,"8,505",13.17,,,646,,"11,081","-4,018","7,063",,"31,566",100.00,35.53,64.47,16.24,12.83,,35.40,1.42,36.82,21.22,29.01,0.60,17.30,1.25,20.68,18.05,,23.98,20.90,36.72,108.26,24.89,26.86,38.77,,30.44,26.48,42.15,,28.91,25.56,39.28,,18.94,-16.97,13.70,24.09,0.83,60.46,8.65,,2.74,71.84,13.41,12.62,2.13,100.00,0.83,5.99,0.06,5.63,4.76,17.28,,2.79,20.07,79.93,100.00,4.16,4.00,1.25,,46.25,,12.24,,7.89,,4.65,0.60,NAS:GOOG
2009-12,"23,651",62.6,"8,312",35.1,"6,520",10.21,,,788,,"9,316",-810,"8,506",,"26,419",100.00,37.39,62.61,15.44,12.02,,35.15,0.29,35.44,22.20,27.57,0.65,18.05,1.12,20.30,19.74,,8.51,30.65,49.29,,25.34,32.79,66.99,,54.26,28.44,74.84,,53.34,27.10,69.47,,18.63,54.82,3.42,35.97,1.30,60.46,7.91,,3.66,72.02,11.96,14.02,1.99,100.00,0.53,,,5.55,0.70,6.78,,4.31,11.09,88.91,100.00,10.62,10.08,1.12,,44.92,,8.13,,8.13,,4.69,0.65,NAS:GOOG
2008-12,"21,796",60.4,"6,632",30.4,"4,227",6.66,,,634,,"7,853","-2,358","5,494",,"17,876",100.00,39.56,60.44,17.20,12.82,,30.43,-3.57,26.86,27.79,19.39,0.76,14.80,1.13,16.60,15.49,,31.35,52.56,71.57,,30.44,48.69,80.89,,0.55,42.35,109.14,,0.15,38.41,100.58,,35.97,62.91,10.82,25.21,1.30,49.88,8.32,,5.32,63.52,16.48,18.37,1.63,100.00,0.56,,,5.74,0.94,7.25,,3.86,11.11,88.89,100.00,8.77,8.03,1.13,,40.23,,9.74,,9.07,,4.70,0.76,NAS:GOOG
2007-12,"16,594",59.9,"5,084",30.6,"4,204",6.65,,,632,,"5,775","-2,403","3,373",,"15,254",100.00,40.07,59.93,16.52,12.78,,30.64,3.55,34.19,25.91,25.33,0.76,19.19,1.12,21.16,19.08,,56.47,73.28,106.73,,43.22,99.52,93.70,,36.60,119.20,111.36,,33.70,108.80,100.52,,61.30,101.02,14.48,20.32,0.80,56.12,9.11,,3.01,68.24,15.94,10.84,4.98,100.00,1.11,,,6.22,0.70,8.03,,2.41,10.44,89.56,100.00,8.49,8.12,1.12,,38.33,,13.54,,9.52,,5.16,0.76,NAS:GOOG
2006-12,"10,605",60.2,"3,550",33.5,"3,077",4.97,,,618,,"3,581","-1,903","1,678",,"11,735",100.00,39.84,60.16,15.10,11.59,,33.48,4.35,37.82,23.28,29.02,0.74,21.41,1.08,23.26,20.87,,72.76,93.40,161.68,,75.98,118.04,217.73,,110.01,207.69,237.91,,98.01,189.42,201.35,,45.58,3.49,17.94,15.82,0.55,60.87,7.16,,2.56,70.59,12.97,10.24,6.21,100.00,1.14,,,5.35,0.57,7.06,,0.70,7.76,92.24,100.00,10.00,9.63,1.08,,34.60,,14.11,,10.55,,6.32,0.74,NAS:GOOG
