index,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio %,Shares Mil,Book Value Per Share USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Year over Year,3-Year Average,5-Year Average,10-Year Average,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Taxes Payable,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,SYMBOL
TTM,"90,758",64.8,"18,110",20.0,"12,273",1.50,1.24,82.7,"8,183",9.70,"29,320","-6,018","23,302",,,100.00,35.23,64.77,21.88,13.16,9.77,19.95,0.02,19.97,32.28,13.52,0.53,7.17,2.23,14.64,10.75,21.86,-12.16,,,,-0.87,,,,,,,,5.56,,,,,,6.63,25.67,1.90,57.47,6.62,2.21,4.07,70.36,8.70,12.66,8.27,100.00,3.83,6.22,0.35,2.00,16.17,28.57,16.09,10.55,55.21,44.79,100.00,2.46,2.24,2.23,0.36,48.93,39.71,76.48,12.15,7.46,9.19,6.42,0.53,NAS:msft
2015-06,"93,580",64.7,"18,161",19.4,"12,193",1.48,1.21,49.0,"8,254",11.23,"29,080","-5,944","23,136",3.16,"74,854",100.00,35.30,64.70,21.72,12.87,10.70,19.41,0.37,19.78,34.12,13.03,0.54,7.00,2.20,14.36,10.71,24.70,7.77,8.27,8.41,8.93,-34.58,-5.85,-5.50,2.23,-44.76,-10.45,-8.26,-0.05,-43.73,-9.55,-6.76,2.83,-9.78,-13.50,6.35,24.72,1.90,54.77,10.16,1.65,4.19,70.77,8.36,12.36,8.52,100.00,3.74,4.25,0.34,2.89,17.07,28.29,15.78,10.48,54.56,45.44,100.00,2.50,2.30,2.20,0.35,73.04,30.72,77.46,26.30,5.00,11.88,6.75,0.54,NAS:msft
2014-06,"86,833",69.0,"27,759",32.0,"22,074",2.63,1.07,38.3,"8,399",10.61,"32,231","-5,485","26,746",2.69,"68,621",100.00,31.02,68.98,23.76,13.11,0.15,31.97,0.07,32.04,20.65,25.42,0.55,14.02,1.92,26.17,21.11,47.60,11.54,7.48,8.24,8.95,3.72,0.73,6.39,11.88,0.97,-1.57,8.67,10.45,1.94,-0.75,10.18,13.37,11.79,8.83,6.32,30.80,1.21,49.72,11.34,1.54,3.67,66.27,7.55,15.73,10.45,100.00,4.31,1.16,0.45,2.78,17.76,26.47,11.98,9.47,47.92,52.08,100.00,2.50,2.31,1.92,0.23,77.83,31.16,83.07,25.91,4.69,11.72,7.55,0.55,NAS:msft
2013-06,"77,849",74.0,"26,764",34.4,"21,863",2.58,0.89,44.5,"8,470",9.21,"28,833","-4,257","24,576",3.24,"64,049",100.00,26.01,73.99,26.24,13.37,,34.38,0.37,34.75,19.18,28.08,0.59,16.58,1.80,30.09,25.07,64.06,5.60,7.60,5.20,9.23,22.98,3.56,3.54,7.31,28.77,5.23,4.34,8.14,29.00,7.10,6.65,10.86,-8.83,-16.18,5.47,31.57,1.12,54.08,12.28,1.36,3.52,71.24,7.01,12.45,9.29,100.00,3.39,2.11,0.42,2.89,17.47,26.27,8.85,9.46,44.57,55.43,100.00,2.71,2.53,1.80,0.16,77.98,27.71,81.14,24.56,4.68,13.17,8.53,0.59,NAS:msft
2012-06,"73,723",76.2,"21,763",29.5,"16,978",2.00,0.76,26.3,"8,506",8.19,"31,626","-2,305","29,321",3.24,"52,396",100.00,23.78,76.22,24.99,13.31,8.40,29.52,0.68,30.20,23.75,23.03,0.64,14.77,1.83,27.51,22.62,59.60,5.40,8.05,7.60,10.02,-19.87,2.24,3.28,6.21,-26.66,5.23,3.84,8.05,-25.65,7.28,7.09,10.99,17.16,19.00,3.13,39.77,1.73,51.98,13.01,0.94,4.23,70.16,6.82,13.71,9.31,100.00,3.44,1.02,0.65,3.20,18.65,26.95,8.83,9.49,45.28,54.72,100.00,2.60,2.41,1.83,0.16,76.16,26.12,87.16,15.13,4.79,13.97,8.97,0.64,NAS:msft
2011-06,"69,943",77.7,"27,161",38.8,"23,150",2.69,0.61,22.6,"8,593",6.82,"26,994","-2,355","24,639",2.87,"46,144",100.00,22.27,77.73,25.97,12.93,,38.83,1.30,40.13,17.53,33.10,0.72,23.77,1.90,44.84,37.40,96.16,11.94,5.00,9.57,10.71,12.71,6.49,10.52,8.77,23.40,9.40,12.94,12.16,28.10,12.89,17.52,15.09,12.13,11.51,3.37,35.23,1.06,48.55,13.79,1.26,5.32,68.92,7.51,12.26,11.31,100.00,3.86,,0.53,3.29,18.79,26.47,10.97,10.05,47.49,52.51,100.00,2.60,2.35,1.90,0.21,73.06,24.74,96.33,1.48,5.00,14.75,8.86,0.72,NAS:msft
2010-06,"62,484",80.2,"24,098",38.6,"18,760",2.10,0.52,24.7,"8,927",5.33,"24,073","-1,977","22,096",2.48,"29,529",100.00,19.84,80.16,27.65,13.95,,38.57,1.46,40.03,25.00,30.02,0.76,22.88,1.86,43.76,37.45,166.65,6.93,6.92,9.45,10.53,18.34,9.16,10.60,8.13,28.77,10.08,8.89,7.13,29.63,13.93,13.40,9.47,26.45,38.81,3.16,35.36,1.18,42.72,15.11,0.86,5.96,64.65,8.86,15.74,10.75,100.00,4.67,1.16,1.25,3.81,19.47,30.36,5.74,10.28,46.38,53.62,100.00,2.13,1.90,1.86,0.11,70.70,21.45,108.20,-16.05,5.16,17.01,8.24,0.76,NAS:msft
2009-06,"58,437",79.2,"20,363",34.8,"14,569",1.62,0.50,30.9,"8,996",4.44,"19,037","-3,119","15,918",1.77,"22,246",100.00,20.80,79.20,28.94,15.42,,34.85,-0.93,33.92,26.50,24.93,0.78,19.34,1.97,38.42,33.36,,-3.28,9.69,9.67,11.46,-9.47,7.32,17.65,7.32,-17.60,4.96,12.27,6.47,-13.37,10.52,16.65,8.60,-11.91,-13.63,5.34,27.24,1.09,40.37,14.37,0.92,7.61,63.27,9.67,18.31,8.74,100.00,4.27,2.57,0.93,4.05,22.89,34.71,4.81,9.69,49.21,50.79,100.00,1.82,1.58,1.97,0.09,77.39,25.55,110.48,-7.53,4.72,14.28,8.48,0.78,NAS:msft
2008-06,"60,420",80.8,"22,492",37.2,"17,681",1.87,0.43,23.0,"9,470",3.97,"21,612","-3,182","18,430",1.95,"13,356",100.00,19.20,80.80,30.07,13.51,,37.23,2.19,39.41,25.75,29.26,0.89,26.01,2.01,52.48,50.52,,18.19,14.94,13.42,15.35,21.42,15.60,11.22,12.48,25.71,13.00,12.09,14.69,31.69,18.63,15.24,16.18,21.44,18.66,5.27,30.50,1.04,32.51,18.67,1.35,6.88,59.40,8.58,19.34,12.68,100.00,5.54,,,4.03,31.48,41.06,,9.10,50.15,49.85,100.00,1.45,1.25,2.01,,75.29,33.23,114.57,-6.04,4.85,10.98,11.41,0.89,NAS:msft
2007-06,"51,122",79.1,"18,524",36.2,"14,065",1.42,0.39,27.5,"9,886",3.73,"17,796","-2,264","15,532",1.44,"16,414",100.00,20.92,79.08,28.92,13.93,,36.23,3.08,39.32,30.03,27.51,0.77,21.19,2.03,39.51,36.92,,15.45,11.54,12.50,16.23,12.46,27.04,9.24,13.70,11.64,19.86,12.43,15.08,18.33,23.71,15.03,15.76,23.55,21.10,4.43,30.38,1.10,37.06,17.95,1.78,6.79,63.59,6.89,8.92,20.60,100.00,5.14,,,3.68,28.78,37.60,,13.17,50.77,49.23,100.00,1.69,1.46,2.03,,73.73,44.46,105.07,13.13,4.95,8.21,13.83,0.77,NAS:msft
